last_name,first_name,Title,State,district,years_served,link
Harris,Andy,Representative,Maryland,1st,2011-2018,https://www.govtrack.us/congress/members/andy_harris/412434
Harris,Kamala,Senator,California,0,2017-2022,https://www.govtrack.us/congress/members/kamala_harris/412678
Hartzler,Vicky,Representative,Missouri,4th,2011-2018,https://www.govtrack.us/congress/members/vicky_hartzler/412444
Hassan,Margaret “Maggie”,Senator,New Hampshire,0,2017-2022,https://www.govtrack.us/congress/members/margaret_hassan/412680
Hastings,Alcee,Representative,Florida,20th,2013-2018,https://www.govtrack.us/congress/members/alcee_hastings/400170
Hatch,Orrin,Senator,Utah,0,1977-2018,https://www.govtrack.us/congress/members/orrin_hatch/300052
Heck,Denny,Representative,Washington,10th,2013-2018,https://www.govtrack.us/congress/members/denny_heck/412584
Heinrich,Martin,Senator,New Mexico,0,2013-2018,https://www.govtrack.us/congress/members/martin_heinrich/412281
Heitkamp,Heidi,Senator,North Dakota,0,2013-2018,https://www.govtrack.us/congress/members/heidi_heitkamp/412554
Heller,Dean,Senator,Nevada,0,2011-2018,https://www.govtrack.us/congress/members/dean_heller/412218
Hensarling,Jeb,Representative,Texas,5th,2003-2018,https://www.govtrack.us/congress/members/jeb_hensarling/400175
Herrera Beutler,Jaime,Representative,Washington,3rd,2011-2018,https://www.govtrack.us/congress/members/jaime_herrera_beutler/412486
Hice,Jody,Representative,Georgia,10th,2015-2018,https://www.govtrack.us/congress/members/jody_hice/412623
Higgins,Brian,Representative,New York,26th,2013-2018,https://www.govtrack.us/congress/members/brian_higgins/400641
Higgins,Clay,Representative,Louisiana,3rd,2017-2018,https://www.govtrack.us/congress/members/clay_higgins/412705
Hill,French,Representative,Arkansas,2nd,2015-2018,https://www.govtrack.us/congress/members/french_hill/412609
Himes,James,Representative,Connecticut,4th,2009-2018,https://www.govtrack.us/congress/members/james_himes/412282
Hirono,Mazie,Senator,Hawaii,0,2013-2018,https://www.govtrack.us/congress/members/mazie_hirono/412200
Hoeven,John,Senator,North Dakota,0,2011-2022,https://www.govtrack.us/congress/members/john_hoeven/412494
Holding,George,Representative,North Carolina,2nd,2017-2018,https://www.govtrack.us/congress/members/george_holding/412553
Hollingsworth,Trey,Representative,Indiana,9th,2017-2018,https://www.govtrack.us/congress/members/trey_hollingsworth/412703
Hoyer,Steny,Representative,Maryland,5th,1981-2018,https://www.govtrack.us/congress/members/steny_hoyer/400189
Hudson,Richard,Representative,North Carolina,8th,2013-2018,https://www.govtrack.us/congress/members/richard_hudson/412550
Huffman,Jared,Representative,California,2nd,2013-2018,https://www.govtrack.us/congress/members/jared_huffman/412511
Huizenga,Bill,Representative,Michigan,2nd,2011-2018,https://www.govtrack.us/congress/members/bill_huizenga/412437
Hultgren,Randy,Representative,Illinois,14th,2011-2018,https://www.govtrack.us/congress/members/randy_hultgren/412422
Hunter,Duncan,Representative,California,50th,2013-2018,https://www.govtrack.us/congress/members/duncan_hunter/412283
Hurd,Will,Representative,Texas,23rd,2015-2018,https://www.govtrack.us/congress/members/will_hurd/412654
Inhofe,James “Jim”,Senator,Oklahoma,0,1994-2020,https://www.govtrack.us/congress/members/james_inhofe/300055
Isakson,John “Johnny”,Senator,Georgia,0,2005-2022,https://www.govtrack.us/congress/members/john_isakson/400194
Issa,Darrell,Representative,California,49th,2003-2018,https://www.govtrack.us/congress/members/darrell_issa/400196
Jackson Lee,Sheila,Representative,Texas,18th,1995-2018,https://www.govtrack.us/congress/members/sheila_jackson_lee/400199
Jayapal,Pramila,Representative,Washington,7th,2017-2018,https://www.govtrack.us/congress/members/pramila_jayapal/412730
Jeffries,Hakeem,Representative,New York,8th,2013-2018,https://www.govtrack.us/congress/members/hakeem_jeffries/412561
Jenkins,Evan,Representative,West Virginia,3rd,2015-2018,https://www.govtrack.us/congress/members/evan_jenkins/412663
Jenkins,Lynn,Representative,Kansas,2nd,2009-2018,https://www.govtrack.us/congress/members/lynn_jenkins/412284
Johnson,Bill,Representative,Ohio,6th,2011-2018,https://www.govtrack.us/congress/members/bill_johnson/412460
Johnson,Eddie,Representative,Texas,30th,1993-2018,https://www.govtrack.us/congress/members/eddie_johnson/400204
Johnson,Henry “Hank”,Representative,Georgia,4th,2007-2018,https://www.govtrack.us/congress/members/henry_johnson/412199
Johnson,Mike,Representative,Louisiana,4th,2017-2018,https://www.govtrack.us/congress/members/mike_johnson/412706
Johnson,Ron,Senator,Wisconsin,0,2011-2022,https://www.govtrack.us/congress/members/ron_johnson/412496
Johnson,Sam,Representative,Texas,3rd,1991-2018,https://www.govtrack.us/congress/members/sam_johnson/400206
Jones,Doug,Senator,Alabama,0,2018-2020,https://www.govtrack.us/congress/members/doug_jones/412741
Jones,Walter,Representative,North Carolina,3rd,1995-2018,https://www.govtrack.us/congress/members/walter_jones/400209
Jordan,Jim,Representative,Ohio,4th,2007-2018,https://www.govtrack.us/congress/members/jim_jordan/412226
Joyce,David,Representative,Ohio,14th,2013-2018,https://www.govtrack.us/congress/members/david_joyce/412566
Kaine,Timothy,Senator,Virginia,0,2013-2018,https://www.govtrack.us/congress/members/timothy_kaine/412582
Kaptur,Marcy,Representative,Ohio,9th,1983-2018,https://www.govtrack.us/congress/members/marcy_kaptur/400211
Katko,John,Representative,New York,24th,2015-2018,https://www.govtrack.us/congress/members/john_katko/412649
Keating,William,Representative,Massachusetts,9th,2013-2018,https://www.govtrack.us/congress/members/william_keating/412435
Kelly,Mike,Representative,Pennsylvania,3rd,2011-2018,https://www.govtrack.us/congress/members/mike_kelly/412465
